target,file,x,y,obsgroup
WISE-1541,jw02473067001_02101_00002_nrcblong,1263,928,4
WISE-1541,jw02473067001_02101_00003_nrcblong,1360,930,4
WISE-1541,jw02473067001_02101_00004_nrcblong,1361,836,4
WISE-1541,jw02473067001_02101_00005_nrcblong,1364,741,4
WISE-1541,jw02473067001_02101_00001_nrcb2,451,1738,4
WISE-1541,jw02473067001_02101_00002_nrcb2,446,1931,4
WISE-1541,jw02473067001_02101_00003_nrcb2,640,1936,4
WISE-1541,jw02473067001_02101_00004_nrcb2,645,1743,4
WISE-1541,jw02473067001_02101_00005_nrcb2,649,550,4
WISE-2056,jw02473070001_04101_00001_nrcblong,1235,775,5
WISE-2056,jw02473070001_04101_00002_nrcblong,1232,870,5
WISE-2056,jw02473070001_04101_00003_nrcblong,1328,873,5
WISE-2056,jw02473070001_04101_00004_nrcblong,1331,778,5
WISE-2056,jw02473070001_04101_00005_nrcblong,1334,684,5
WISE-2056,jw02473070001_04101_00001_nrcb2,388,1620,5
WISE-2056,jw02473070001_04101_00002_nrcb2,383,1812,5
WISE-2056,jw02473070001_04101_00003_nrcb2,577,1818,5
WISE-2056,jw02473070001_04101_00004_nrcb2,582,1625,5
WISE-2056,jw02473070001_04101_00005_nrcb2,586,1432,5
WISE-1639,jw02473068001_03101_00001_nrcblong,1234,777,5
WISE-1639,jw02473068001_03101_00002_nrcblong,1231,871,5
WISE-1639,jw02473068001_03101_00003_nrcblong,1327,874,5
WISE-1639,jw02473068001_03101_00004_nrcblong,1330,780,5
WISE-1639,jw02473068001_03101_00005_nrcblong,1332,685,5
WISE-1639,jw02473068001_03101_00001_nrcb2,386,1623,5
WISE-1639,jw02473068001_03101_00002_nrcb2,381,1816,5
WISE-1639,jw02473068001_03101_00003_nrcb2,575,1820,5
WISE-1639,jw02473068001_03101_00004_nrcb2,580,1628,5
WISE-1639,jw02473068001_03101_00005_nrcb2,585,1435,5
WISE-1141,jw02473063001_03101_00001_nrcblong,1234,778,5
WISE-1141,jw02473063001_03101_00002_nrcblong,1231,873,5
WISE-1141,jw02473063001_03101_00003_nrcblong,1327,876,5
WISE-1141,jw02473063001_03101_00004_nrcblong,1329,781,5
WISE-1141,jw02473063001_03101_00005_nrcblong,1332,686,5
WISE-1141,jw02473063001_03101_00001_nrcb2,386,1626,5
WISE-1141,jw02473063001_03101_00002_nrcb2,381,1818,5
WISE-1141,jw02473063001_03101_00003_nrcb2,575,1823,5
WISE-1141,jw02473063001_03101_00004_nrcb2,580,1630,5
WISE-1141,jw02473063001_03101_00005_nrcb2,584,1438,5
WISE-2220,jw02473072001_02101_00001_nrcblong,1235,775,5
WISE-2220,jw02473072001_02101_00002_nrcblong,1232,870,5
WISE-2220,jw02473072001_02101_00003_nrcblong,1327,873,5
WISE-2220,jw02473072001_02101_00004_nrcblong,1330,778,5
WISE-2220,jw02473072001_02101_00005_nrcblong,1333,683,5
WISE-2220,jw02473072001_02101_00001_nrcb2,386,1620,5
WISE-2220,jw02473072001_02101_00002_nrcb2,381,1813,5
WISE-2220,jw02473072001_02101_00003_nrcb2,575,1818,5
WISE-2220,jw02473072001_02101_00004_nrcb2,580,1625,5
WISE-2220,jw02473072001_02101_00005_nrcb2,584,1433,5
# I2D Files
# NOTE: Closest to dither 4
WISE-1639,jw02473-o068_t018_nircam_clear-f150w,2838,1861,5
WISE-1639,jw02473-o068_t018_nircam_clear-f480m,1347,889,5
WISE-2056,jw02473-o070_t021_nircam_clear-f150w,2840,1858,5
WISE-2056,jw02473-o070_t021_nircam_clear-f480m,1348,888,5
WISE-1141,jw02473-o063_t012_nircam_clear-f150w,2809,1832,5
WISE-1141,jw02473-o063_t012_nircam_clear-f480m,1347,890,5
WISE-2220,jw02473-o072_t023_nircam_clear-f150w,2768,1840,5
WISE-2220,jw02473-o072_t023_nircam_clear-f480m,1348,887,5
WISE-0535,jw02473-o057_t006_nircam_clear-f150w,2652,1724,2
WISE-0535,jw02473-o057_t006_nircam_clear-f480m,1290,831,2
WISE-0734,jw02473-o060_t009_nircam_clear-f150w,2605,1732,2
WISE-0734,jw02473-o060_t009_nircam_clear-f480m,1268,835,2
WISE-2354,jw02473-o073_t024_nircam_clear-f150w,2774,1697,2
WISE-2354,jw02473-o073_t024_nircam_clear-f480m,1328,823,2
WISE-1738,jw02473-o074_t019_nircam_clear-f150w,2743,1786,2
WISE-1738,jw02473-o074_t019_nircam_clear-f480m,1313,867,2
WISE-0304,jw02473-o052_t052_nircam_clear-f150w,2735,1762,1
WISE-0304,jw02473-o052_t052_nircam_clear-f480m,1297,841,1
WISE-0336,jw02473-o053_t053_nircam_clear-f150w,2664,1744,1
WISE-0336,jw02473-o053_t053_nircam_clear-f480m,1296,840,1
WISE-0359,jw02473-o055_t004_nircam_clear-f150w,2766,1746,1
WISE-0359,jw02473-o055_t004_nircam_clear-f480m,1329,826,1
WISE-0410,jw02473-o056_t005_nircam_clear-f150w,3000,1624,1
WISE-0410,jw02473-o056_t005_nircam_clear-f480m,1440,789,1
WISE-0647,jw02473-o058_t007_nircam_clear-f150w,2700,1790,3
WISE-0647,jw02473-o058_t007_nircam_clear-f480m,1279,854,3
WISE-0713,jw02473-o059_t008_nircam_clear-f150w,2728,1672,3
