DefaultName,SpecTypeNIR,SpTNIR_indx,mag_upp,mag_low,Teff (K),Teff_unc (K),SexagesimalRA,SexagesimalDec,RA (deg),RA_unc (mas),Dec (deg),Dec_unc (mas),Epoch,Parallax (mas),Parallax_unc (mas),PMRA (mas/yr),PMRA_unc (mas/yr),PMDec (mas/yr),PMDec_unc (mas/yr),PlxPMRef,RUWE,#CompsInThisSystem,2MASS,WISE,Gaia,SpTNIR_ref,JMKO (mag),JMKOerr (mag),J2MASS (mag),J2MASSerr (mag),H (mag),Herr (mag),K (mag),Kerr (mag),Ks (mag),Kserr (mag),JHK_ref,2MASS_contam?,W1 (mag),W1err (mag),W2 (mag),W2err (mag),W3 (mag),W3err (mag),W4 (mag),W4err (mag),WISEphot_ref,WISE_contam?,GeneralNotes
WISE J221216.33-693121.6,T9,69.0,15.1,14.6,487,88,22 12 17.17,-69 31 21.5,333.072046,1.8,-69.522691,1.8,2016.48,80.6,1.9,789.2,0.7,-62.7,0.7,Kirkpatrick2021a,,1,,WISEA J221216.27-693121.6,,Schneider2015,19.74,0.02,,,20.23,0.04,,,,,s-s--,,18.39,0.141,15.031,0.023,12.621,,8.885,,CCAA,,
WISE J083337.83+005214.2,(sd)T9,69.0,15.1,14.6,472,88,08 33 38.18,+00 52 04.4,128.409249,2.8,0.867492,2.8,2017.5,79.7,3.1,786.8,2.1,-1593.7,2.0,Kirkpatrick2021a,,1,,WISEA J083337.81+005213.8,,Pinfield2014a,20.28,0.1,,,20.63,0.1,,,,,H-H--,,19.081,,14.908,0.025,12.3,,8.84,,CCAA,,
WISE J154214.00+223005.2,T9.5,69.5,15.1,14.6,472,88,15 42 13.58,+22 30 02.9,235.556133,2.7,22.500649,2.9,2017.61,84.3,3.0,-977.3,1.4,-392.5,1.2,Kirkpatrick2021a,,1,,WISEA J154214.00+223005.2,,Mace2013a,19.94,0.03,,,20.52,0.05,,,,,s-s--,,18.441,0.148,15.065,0.025,13.014,,9.3,,CCAA,,
WISEA J105553.62-165216.5,T9.5,69.5,15.1,14.6,511,79,10 55 53.19,-16 52 14.6,163.971935,2.2,-16.870689,2.1,2016.11,71.7,2.3,-1000.4,1.0,417.7,1.0,Kirkpatrick2021a,,1,,WISEA J105553.62-165216.5,,Martin2018,20.71,0.21,,,20.68,,,,,,P-S--,,18.095,0.145,15.087,0.03,12.238,,8.878,,CCAA,,
WISEPC J014807.25-720258.7,T9.5,69.5,15.1,14.6,526,88,01 48 09.08,-72 02 58.8,27.0362133,,-72.0496697,,2015.4,91.7,3.4,1269.3,4.1,0.0,4.4,Tinney2014,,1,,WISEA J014807.34-720258.7,,Kirkpatrick2011,18.91,0.04,18.96,0.07,19.16,0.03,,,,,MDM--,,17.899,0.079,14.629,0.016,12.576,,9.333,,CCAA,,
WISEA J215949.54-480855.2,T9,69.0,15.1,14.6,549,88,21 59 49.74,-48 09 03.5,329.957007,2.5,-48.150396,2.4,2015.38,73.9,2.6,322.0,1.2,-1238.4,1.1,Kirkpatrick2021a,,1,,WISEA J215949.54-480855.2,,Tinney2018,18.83,0.1,,,19.25,0.12,,,,,V-k--,,17.966,0.125,14.655,0.022,11.523,,8.778,,CCAA,,
WISEPC J131106.24+012252.4,T9:,69.0,15.1,14.6,554,88,13 11 06.34,+01 22 50.3,197.77626,,1.381093,,2013.23,68.8,2.7,277.9,0.9,-813.9,0.9,Kirkpatrick2019,,1,,WISEA J131106.21+012253.9,,Kirkpatrick2011,18.75,0.07,,,19.32,0.23,,,,,P-k--,,17.877,0.109,14.737,0.024,12.645,,9.167,,CCAA,,
WISE J233226.49-432510.6,T9:,69.0,15.1,14.6,555,88,23 32 26.61,-43 25 12.2,353.110885,2.0,-43.420058,2.0,2015.41,61.1,2.1,250.2,0.8,-262.5,0.9,Kirkpatrick2021a,,1,,WISEA J233226.54-432510.9,,Kirkpatrick2012,19.36,0.07,,,19.57,0.15,,,,,V-k--,,18.471,0.188,15.061,0.029,12.21,,8.646,,CCAA,,
WISE J032517.69-385454.1,T9,69.0,15.1,14.6,556,88,03 25 17.80,-38 54 54.5,51.324332,2.8,-38.915248,3.5,2016.74,60.2,3.5,287.9,1.3,-110.6,1.6,Kirkpatrick2021a,,1,,WISE J032517.69-385454.1,,Mace2013a,,,19.33,0.23,19.58,0.2,,,,,-SS--,,18.341,0.128,15.036,0.025,13.222,0.457,9.657,,CCWW,,
CWISE J091105.02+214645.1,T9,69.0,15.1,14.6,566,79,09 11 05.03,+21 46 45.1,137.770876,6.6,21.779183,6.2,2015.91,72.8,,-104.4,1.8,-658.8,1.7,Kirkpatrick2021a,,1,,CWISE J091105.02+214645.1,,Kirkpatrick2021a,17.48,0.01,17.94,0.13,17.88,0.05,,,17.92,,PBP-B,,17.39,0.071,14.613,0.021,12.157,,,,CCA-,,Expected parallax is 72.8 mas (Kirkpatrick2021a).
